Timestamp,Qubit,T1 (us),T1 sigma,T2 (us),T2 sigma
2025-05-09 04:16:31,Qubit1,24.516954,1.297317,1.180148,0.242085
2025-05-09 04:16:31,Qubit4,58.531867,6.125490,1.272131,0.331759
2025-05-09 04:19:55,Qubit1,21.113480,0.968003,1.011703,0.206342
2025-05-09 04:19:55,Qubit4,61.043909,5.505451,1.278649,0.345030
2025-05-09 04:23:19,Qubit1,24.898461,1.145150,1.078129,0.197907
2025-05-09 04:23:20,Qubit4,55.327348,4.602750,1.166018,0.297117
2025-05-09 04:26:44,Qubit1,26.996689,1.540832,1.185505,0.285487
2025-05-09 04:26:44,Qubit4,50.862122,4.790321,1.172640,0.266492
2025-05-09 04:30:08,Qubit1,27.855938,1.297421,1.074034,0.202242
2025-05-09 04:30:08,Qubit4,55.058768,5.143701,1.352019,0.326406
2025-05-09 04:33:32,Qubit1,25.211074,1.578305,1.104251,0.205314
2025-05-09 04:33:33,Qubit4,52.794695,4.877478,10.809873,2781.481383
2025-05-09 04:36:57,Qubit1,26.026324,1.422830,1.092294,0.226316
2025-05-09 04:36:57,Qubit4,55.625741,4.804350,1.396240,0.361323
2025-05-09 04:40:21,Qubit1,25.630699,1.122502,1.202600,0.251264
2025-05-09 04:40:22,Qubit4,52.277039,5.373332,1.129555,0.285531
2025-05-09 04:43:46,Qubit1,23.936984,1.356868,1.069967,0.190041
2025-05-09 04:43:46,Qubit4,55.154020,4.857796,1.343126,0.339038
2025-05-09 04:47:10,Qubit1,26.695044,1.381020,1.096967,0.249730
2025-05-09 04:47:10,Qubit4,49.737944,4.255733,1.246196,0.317406
2025-05-09 04:50:34,Qubit1,26.383528,1.367749,1.096733,0.221016
2025-05-09 04:50:35,Qubit4,51.734521,4.807695,1.409239,0.366578
2025-05-09 04:53:59,Qubit1,25.724660,1.432487,1.194600,0.279041
2025-05-09 04:53:59,Qubit4,55.433757,4.949162,1.218344,0.258371
2025-05-09 04:57:23,Qubit1,26.795690,1.329931,1.133707,0.216514
2025-05-09 04:57:23,Qubit4,56.875112,5.094166,1.175633,0.264674
2025-05-09 05:00:47,Qubit1,24.355728,1.248155,1.133080,0.253438
2025-05-09 05:00:48,Qubit4,66.411263,6.958696,1.433480,0.344883
2025-05-09 05:04:12,Qubit1,23.131638,1.046043,1.065747,0.233779
2025-05-09 05:04:12,Qubit4,48.451416,3.997401,1941.687128,25732127.497504
