timestamp,T2r,T2e,T1
2025-04-22T03:58:06.340972,"[2.9582069811669127, 0.9331375745765897]","[32.518010449866544, 0.2703121725662112]",12.82989585371692
2025-04-22T03:58:54.651380,"[2.9772368017968143, 0.9226065571075539]","[13.05179704008269, 0.2645423389764616]",11.782655582701425
2025-04-22T03:59:42.983007,"[2.735886758157054, 0.9354894786220664]","[16.03424961743694, 0.2532897721443148]",12.031052606854178
2025-04-22T04:00:31.491698,"[3.0007179998962554, 0.9247864235725358]","[16.455901210315243, 0.270250486900661]",11.785009847403877
2025-04-22T04:01:19.813466,"[3.1985556255895564, 0.9010682953700764]","[7.372153217196277, 0.26814388118718746]",11.572843815487717
2025-04-22T04:02:08.112913,"[2.9059715462692375, 0.9292232811786048]","[53.900832756657266, 0.26948198383997024]",12.890487630565138
2025-04-22T04:02:56.416740,"[3.110658927491811, 0.9453420265282895]","[8.357441660096528, 0.26249862217828035]",11.770784071865457
2025-04-22T04:03:44.806113,"[4.2144791314931735, 0.9675353774801199]","[8.542131051047392, 0.27140438073869966]",11.84177088442113
2025-04-22T04:04:33.112550,"[4.150078080018639, 0.9708125337666793]","[8.73035672375306, 0.2604276936150809]",11.107215083160678
2025-04-22T04:05:21.439930,"[3.22292769002162, 0.9365939155227796]","[14.020035741355661, 0.26634762280759494]",11.269552982085552
2025-04-22T04:06:09.761062,"[2.7427190207958674, 0.9334713628896787]","[12.516963228010157, 0.267205288076644]",10.881463632602163
2025-04-22T04:06:58.071433,"[3.8796339073917223, 0.9703550751755565]","[10.123816337048115, 0.2719885928577921]",11.823515944905175
2025-04-22T04:07:46.425156,"[3.0223787000520774, 0.9486319961678218]","[12.543090951824027, 0.26994649512442237]",12.528843286652656
2025-04-22T04:08:34.719205,"[3.1061413572842755, 0.9463000792322553]","[14.477802226362657, 0.2647166736294633]",12.762793863754386
2025-04-22T04:09:23.058233,"[3.1513347396125315, 0.9247781485690849]","[11.250391060959052, 0.262684255228832]",11.408929191349008
2025-04-22T04:10:11.414988,"[3.218435421250873, 0.89328628130363]","[20.526539788463698, 0.2668979671208498]",11.786650740465431
2025-04-22T04:10:59.775797,"[3.0836477510454334, 0.9532957362544217]","[10.653369214068668, 0.2712361837985937]",12.305054604334796
2025-04-22T04:11:48.050907,"[2.8458614373085624, 0.9350545162138344]","[6.9373524633877865, 0.2659528134339082]",11.932912017016074
2025-04-22T04:12:36.375392,"[3.0771359031350496, 0.9419041609687504]","[8.24198006163588, 0.27029477884257913]",12.253384172689687
2025-04-22T04:13:24.724251,"[3.7520224945603253, 0.9633412943130115]","[23.70125211175132, 0.26641605765536713]",10.609825335486562
2025-04-22T04:14:13.039620,"[2.816428442414557, 0.9285128309630268]","[9.576667376618744, 0.2745319861814539]",11.859566690675345
2025-04-22T04:15:01.370098,"[3.2130495355588873, 0.9312940991888943]","[12.264161133202526, 0.2593081807420341]",12.5767154528675
2025-04-22T04:15:49.693366,"[2.936280769662645, 0.9448000656223963]","[8.409057603058324, 0.26213331156811925]",11.574925040699602
2025-04-22T04:16:38.111414,"[3.4299346520675376, 0.9636261811241678]","[9.125530619926142, 0.2663757589081057]",11.68755040357916
2025-04-22T04:17:26.449510,"[3.457044257513431, 0.9315577250796028]","[7.974598839240365, 0.27374871749727436]",12.269010920402012
2025-04-22T04:18:14.782340,"[2.991175988763897, 0.933646868681127]","[11.308710362444197, 0.26667941017743857]",12.480387541983287
2025-04-22T04:19:03.018541,"[3.485208816697902, 0.9576057678697176]","[14.591707388658243, 0.26299649202248965]",11.776005144619578
2025-04-22T04:19:51.348204,"[2.6057298495191463, 0.9252467698176181]","[10.019064936369059, 0.26399661369855787]",10.822442612496625
2025-04-22T04:20:39.646104,"[2.312262206152692, 0.9069071908674435]","[7.819674624080425, 0.270932175050814]",11.816377617154346
2025-04-22T04:21:27.942071,"[2.8592239300513578, 0.9170783837464458]","[11.11320226501441, 0.25899353994394136]",11.833540483245574
2025-04-22T04:22:16.227108,"[3.812707017082249, 0.9598751646673489]","[12.532043306477384, 0.26414729173739104]",12.592281743911482
2025-04-22T04:23:04.578604,"[3.5012320663941616, 0.9551796972535658]","[20.39955880506765, 0.26499609536315205]",11.926636697924252
2025-04-22T04:23:52.908888,"[2.764342982614389, 0.9072305359664452]","[9.368338298580907, 0.2732839256939168]",11.629116639594638
2025-04-22T04:24:41.239204,"[3.8260627497538024, 0.9761784118716683]","[12.781419204689755, 0.2701972579378298]",12.212668687937354
2025-04-22T04:25:29.542028,"[3.7148857448085497, 0.9562587682951964]","[8.575898778259154, 0.26915881940496833]",12.000646850349597
2025-04-22T04:26:17.898030,"[2.680248898324065, 0.9449532307089865]","[10.562216015227307, 0.27737620801344587]",13.479660597260834
2025-04-22T04:27:06.226018,"[3.0037469310430436, 0.9475200057826312]","[10.391355062679763, 0.26689317087133624]",12.866889742795273
2025-04-22T04:27:54.555473,"[2.8326796226522863, 0.9261200320002678]","[14.733674911403497, 0.26928591015742764]",12.322779333086414
2025-04-22T04:28:42.860940,"[2.9342750799813104, 0.95806705771435]","[13.644988879250915, 0.2672516497153179]",12.341141403246151
2025-04-22T04:29:31.183980,"[2.970119207704951, 0.9449331004149397]","[11.534026609933532, 0.2668190377805062]",12.553237288627225
2025-04-22T04:30:19.544278,"[2.9059625618602896, 0.9404058087323173]","[13.620358950441593, 0.2728569998509518]",12.774174605078557
2025-04-22T04:31:07.877475,"[3.134298215375311, 0.9553124557470096]","[10.723569831469298, 0.2611095935763119]",12.760486730516455
2025-04-22T04:31:56.180296,"[3.286279198297811, 0.9508178213339162]","[10.922315893903846, 0.2627372252437614]",12.831232215350346
2025-04-22T04:32:44.508172,"[2.8817935260222556, 0.9268901080868637]","[8.07231479332415, 0.26423684366040945]",12.355660132831332
2025-04-22T04:33:32.830908,"[3.946032373418416, 0.9589014472175945]","[12.245685689312893, 0.2682292587454356]",12.573747466413026
2025-04-22T04:34:21.110181,"[3.1028628637337676, 0.8891945638283785]","[11.287221149155105, 0.264342194587992]",12.149957122970815
2025-04-22T04:35:09.980128,"[3.311816548763041, 0.9148570073863609]","[8.745330736101009, 0.25932337647407344]",12.856001691435056
2025-04-22T04:35:58.276987,"[3.0432985832010178, 0.9580077711306481]","[15.957482001012869, 0.2602304943614042]",13.510505595599215
2025-04-22T04:36:46.583366,"[3.488374080717375, 0.9329880784586644]","[111.41493340765967, 0.2672610907479358]",12.389918875452093
2025-04-22T04:37:34.914054,"[3.6879217898674472, 0.9605374594810643]","[21.32267050605453, 0.2666115913981555]",12.042069758366994
2025-04-22T04:38:23.259502,"[2.9424989927587943, 0.9153115694251239]","[23.430804540500546, 0.27281589694105834]",11.877566663373857
2025-04-22T04:39:11.598921,"[3.3648900438929363, 0.9234467167043152]","[10.797116404693048, 0.2673907240865625]",13.292704603220544
2025-04-22T04:39:59.921040,"[2.490521106232423, 0.942012316462669]","[24.315914141000555, 0.27111421320683116]",13.037759749441843
2025-04-22T04:40:48.257909,"[3.5340269959699526, 0.9251777497548761]","[8.150904004184401, 0.27839082237819435]",13.493290649793312
2025-04-22T04:41:36.586991,"[3.4621810056513116, 0.9191439185164749]","[12.712220756931938, 0.26347213653657153]",12.658099844445623
2025-04-22T04:42:24.915628,"[3.6087069410296584, 0.9437589987520285]","[10.321476601495677, 0.26550773449539244]",13.428198919700531
2025-04-22T04:43:13.251511,"[3.4916121834369847, 0.9515939172066044]","[18.879072079712124, 0.2730376345230243]",12.703918131292703
2025-04-22T04:44:01.604872,"[3.4706605513628377, 0.9324323054769708]","[9.429836588714336, 0.26608080262571443]",12.416081146312688
2025-04-22T04:44:49.963136,"[2.95445617665949, 0.924026045764204]","[13.400250983287773, 0.2635396950546136]",12.072927791760378
2025-04-22T04:45:38.276081,"[3.3300468301632953, 0.9279431330889407]","[11.900286909623167, 0.2642707820305974]",13.031211868347759
2025-04-22T04:46:26.598368,"[3.0092063634421966, 0.9423621295083762]","[12.648362709197173, 0.26527849401560166]",12.547723291762576
